seed,mechanism,missing_pct,method,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
42,MNAR,10,iterative,239,60,12,0.6788151443991266,0.06858246318092588,0.8166666666666667,0.75,0.631578947368421,0.6857142857142857,0.8985879332477535,0.5395896000263747
42,MNAR,20,mean,239,60,12,0.6432266992266993,0.12228073594205409,0.7666666666666667,1.0,0.2631578947368421,0.4166666666666667,0.8536585365853658,0.45893429999705404
42,MNAR,20,median,239,60,12,0.6531038591038592,0.06427915985725383,0.7666666666666667,0.7777777777777778,0.3684210526315789,0.5,0.8523748395378691,0.39955520001240075
42,MNAR,20,knn,239,60,12,0.6488518518518518,0.042876093530468354,0.75,0.7,0.3684210526315789,0.4827586206896552,0.8703465982028241,0.45295610002358444
42,MNAR,20,iterative,239,60,12,0.6479412420486589,0.06697208415185268,0.7833333333333333,1.0,0.3157894736842105,0.48,0.8318356867779204,0.4686924999987241
42,MNAR,30,mean,239,60,12,0.5611451267373306,0.060294203927541,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.7798459563543003,0.4461190000001807
42,MNAR,30,median,239,60,12,0.6029304029304029,0.0460016970028839,0.7666666666666667,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7991014120667523,0.47754389999317937
42,MNAR,30,knn,239,60,12,0.5597566137566138,0.06078113436664836,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.7625160462130937,0.4565695999772288
42,MNAR,30,iterative,239,60,12,0.5911239935587761,0.0869044839821059,0.8,0.8888888888888888,0.42105263157894735,0.5714285714285714,0.7830551989730423,0.4778562000137754
123,MCAR,10,mean,239,60,12,0.6771198527720267,0.12115952337007849,0.8666666666666667,0.9230769230769231,0.631578947368421,0.75,0.9582798459563543,0.44717680002213456
123,MCAR,10,median,239,60,12,0.7102723848159953,0.1328276435608084,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878,0.9582798459563543,0.5263320000085514
123,MCAR,10,knn,239,60,12,0.6906265350230868,0.10853137697144351,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878,0.9608472400513479,0.4691911000118125
123,MCAR,10,iterative,239,60,12,0.6650542784163473,0.13919418963237173,0.9,1.0,0.6842105263157895,0.8125,0.9711168164313222,0.4363551000133157
123,MCAR,20,mean,239,60,12,0.6494064265904873,0.18753881439026637,0.8833333333333333,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.9216944801026957,0.4109244999999646
123,MCAR,20,median,239,60,12,0.6404761904761905,0.2013897294532462,0.9333333333333333,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9332477535301669,0.4344562999904156
123,MCAR,20,knn,239,60,12,0.6594121836768896,0.1453111732438794,0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.9088575096277278,0.40750410000327975
123,MCAR,20,iterative,239,60,12,0.6549222011385198,0.17527593571502997,0.8833333333333333,0.8,0.8421052631578947,0.8205128205128205,0.9242618741976893,0.39470380000420846
123,MCAR,30,mean,239,60,12,0.6280534121051362,0.04522652334116075,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8581514762516046,0.4898455000075046
123,MCAR,30,median,239,60,12,0.5792149879106401,0.05210753998640814,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8690629011553274,0.4498416999995243
123,MCAR,30,knn,239,60,12,0.6297664623909244,0.05054548726627892,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8722721437740693,0.5100149999780115
123,MCAR,30,iterative,239,60,12,0.5925662168915542,0.0762992633779225,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8761232349165596,0.45114679998368956
123,MAR,10,mean,239,60,12,0.7315319284802044,0.09663280567229696,0.8833333333333333,1.0,0.631578947368421,0.7741935483870968,0.9646983311938383,0.32178560001193546
123,MAR,10,median,239,60,12,0.7118411727316065,0.06990305765015872,0.8833333333333333,1.0,0.631578947368421,0.7741935483870968,0.9621309370988447,0.4633680999977514
123,MAR,10,knn,239,60,12,0.6951415048778132,0.07120536016497812,0.85,1.0,0.5263157894736842,0.6896551724137931,0.975609756097561,0.3997400999942329
123,MAR,10,iterative,239,60,12,0.7234093231162196,0.07266376743459159,0.85,1.0,0.5263157894736842,0.6896551724137931,0.9525032092426187,0.47827439999673516
123,MAR,20,mean,239,60,12,0.6286666338776313,0.06025409633862766,0.9166666666666666,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.9146341463414634,0.41390539999702014
123,MAR,20,median,239,60,12,0.6440600259955098,0.07404323191621939,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.917201540436457,0.388735499989707
