experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MCAR_20_MEAN_NOGA_RF_SEED2026,MCAR,20,mean,NOGA,2026,239,60,12,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8446726572528883,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEDIAN_NOGA_RF_SEED2026,MCAR,20,median,NOGA,2026,239,60,12,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8780487804878049,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_KNN_NOGA_RF_SEED2026,MCAR,20,knn,NOGA,2026,239,60,12,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8530166880616175,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_ITERATIVE_NOGA_RF_SEED2026,MCAR,20,iterative,NOGA,2026,239,60,12,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8658536585365854,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEAN_NOGA_RF_SEED2026,MCAR,30,mean,NOGA,2026,239,60,12,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.954428754813864,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEDIAN_NOGA_RF_SEED2026,MCAR,30,median,NOGA,2026,239,60,12,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9537869062901156,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_KNN_NOGA_RF_SEED2026,MCAR,30,knn,NOGA,2026,239,60,12,0.9,0.9333333333333332,0.7368421052631579,0.8235294117647058,0.925545571245186,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_ITERATIVE_NOGA_RF_SEED2026,MCAR,30,iterative,NOGA,2026,239,60,12,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.920410783055199,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_MEAN_NOGA_RF_SEED2026,MAR,10,mean,NOGA,2026,239,60,12,0.8333333333333334,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.883183568677792,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_MEDIAN_NOGA_RF_SEED2026,MAR,10,median,NOGA,2026,239,60,12,0.8333333333333334,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8966623876765083,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_KNN_NOGA_RF_SEED2026,MAR,10,knn,NOGA,2026,239,60,12,0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8908857509627728,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_ITERATIVE_NOGA_RF_SEED2026,MAR,10,iterative,NOGA,2026,239,60,12,0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8934531450577664,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_MEAN_NOGA_RF_SEED2026,MAR,20,mean,NOGA,2026,239,60,12,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.9056482670089858,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_MEDIAN_NOGA_RF_SEED2026,MAR,20,median,NOGA,2026,239,60,12,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9146341463414634,results/metrics/e1_e2_e3_multiseed.csv
